,page link text,page url
178,View all Programming,/subject/programming-and-software-development
179,Communication Skills,/subject/communication-skills
180,Career Development,/subject/career-development
181,Self Improvement,/subject/self-improvement
182,Presentation Skills,/subject/presentation-skills
183,Resilience,/subject/resilience
184,View all Personal Development,/subject/personal-development
185,Cybersecurity,/subject/cybersecurity
186,Network Security,/subject/network-security
187,Ethical Hacking,/subject/ethical-hacking
188,Digital Forensics,/subject/digital-forensics
189,Reverse Engineering,/subject/reverse-engineering
190,Penetration Testing,/subject/pentesting
191,Malware Analysis,/subject/malware-analysis
192,DevSecOps,/subject/devsecops
193,OSINT (Open Source Intelligence),/subject/osint
194,Threat Intelligence,/subject/threat-intelligence
195,Information Security Certifications,/subject/infosec-certifications
196,Red Team,/subject/red-team
197,Blue Team,/subject/blue-team
198,View all Information Security (InfoSec),/subject/infosec
199,The Report,https://www.classcentral.com/report/
200,,https://www.classcentral.com/report/2022-year-in-review/
201,2022 Year in Review: The “New Normal” that Wasn’t,https://www.classcentral.com/report/2022-year-in-review/
202,Dhawal Shah,https://www.classcentral.com/report/author/dhawal/
203,"Review of Goldman Sachs 10,000 Women Courses",https://www.classcentral.com/report/review-goldman-sachs-10000-women/
204,10 Best Japanese Courses to Take in 2023,https://www.classcentral.com/report/best-japanese-courses/
205,7 Best Erlang Courses to Take in 2023,https://www.classcentral.com/report/best-erlang-courses/
206,Harvard CS50 Guide: How to Pick the Right Course (with Free Certificate),https://www.classcentral.com/report/harvard-cs50-guide/
207,10 Best CSS Animation Courses to Take in 2023,https://www.classcentral.com/report/best-css-animation-courses/
208,"Visit
      The Report",/report/
209,Lists Showcase,/lists
210,Sign up,/signup
211,Log in,/login
212,Sign up,/signup
213,Log in,/login
214,Sign up,/signup
215,"700+ Free Google Certifications
 Trending",https://www.classcentral.com/report/free-google-certifications/
216,"Digital Skills
209 courses",/subject/digital-skills
217,"Digital Marketing
3,881 courses",/subject/digital-marketing
218,"Information Technology (IT) Certifications
504 courses",/subject/it-certifications
219,"The Science of Well-Being
Yale University",/course/the-science-of-well-being-10346
220,"Introducción a la gestión de proyectos
Universitat Politècnica de València",/course/edx-introduccion-a-la-gestion-de-proyectos-4870
221,"Lean Production
Technische Universität München (Technical University of Munich)",/course/edx-lean-production-8447
222,subject,/subjects
223,university,/universities
224,Learn more,/help/moocs
225,Free Certificates,https://www.classcentral.com/report/free-certificates/ 
226,Ivy League,/collection/ivy-league-moocs 
227,Stanford,/university/stanford 
228,Best of All Time,/collection/top-free-online-courses 
229,Computer Science,/subject/cs 
230,Sustainability,/collection/sustainability-online-courses 
231,MIT,/university/mit 
232,Google,/institution/google 
233,Amazon,/institution/amazon 
234,Business,/subject/business 
235,Best Courses Guides,https://www.classcentral.com/report/category/best-courses/ 
236,Deals and Discounts,https://www.classcentral.com/report/online-learning-deals/ 
237,Harvard University,/university/harvard
238,Stanford University,/university/stanford
239,IIT Kharagpur,/university/iit-kharagpur
240,MIT,/university/mit
241,Rice University,/university/rice
242,IIT Madras,/university/iitm
243,Columbia University,/university/columbia
244,Cornell University,/university/cornell
245,U. of Edinburgh,/university/edinburgh
246,Purdue University,/university/purdue
247,U. of Pennsylvania,/university/penn
248,Duke University,/university/duke
249,U. of Michigan,/university/umich
250,Browse universities,/universities
251,Coursera,/provider/coursera
252,edX,/provider/edx
253,FutureLearn,/provider/futurelearn
254,Udemy,/provider/udemy
255,Swayam,/provider/swayam
256,LinkedIn Learning,/provider/linkedin-learning
257,Skillshare,/provider/skillshare
258,Browse providers,/providers
259,Google,/institution/google
260,Amazon,/institution/amazon
261,Microsoft,/institution/microsoft
262,IBM,/institution/ibm
263,Smithsonian,/institution/smithsonian
264,United Nations,/institution/united-nations
265,British Council,/institution/british-council
